"Cause" "Contr" "FID" "Country"
"374" "LungC" 13.9628942745644 "DE310" "DE"
"375" "Cancer" 5.83684183573659 "DE310" "DE"
"376" "CVD" 48.3943388623767 "DE310" "DE"
"377" "External" 6.17939897192711 "DE310" "DE"
"378" "Rest" 25.6265260553952 "DE310" "DE"
"379" "Sum" 100 "DE310" "DE"
"380" "LungC" 13.9376502928828 "DE311" "DE"
"381" "Cancer" 11.2727220157022 "DE311" "DE"
"382" "CVD" 48.0778130131344 "DE311" "DE"
"383" "External" 4.60056980461374 "DE311" "DE"
"384" "Rest" 22.1112448736669 "DE311" "DE"
"385" "Sum" 100 "DE311" "DE"
"386" "LungC" 16.5202039857652 "DE312" "DE"
"387" "Cancer" 6.88105481760578 "DE312" "DE"
"388" "CVD" 47.0169465979209 "DE312" "DE"
"389" "External" 8.0152060553646 "DE312" "DE"
"390" "Rest" 21.5665885433436 "DE312" "DE"
"391" "Sum" 100 "DE312" "DE"
"392" "LungC" 14.8508655408205 "DE313" "DE"
"393" "Cancer" 2.94807713818532 "DE313" "DE"
"394" "CVD" 51.6694949779874 "DE313" "DE"
"395" "External" 8.42450663077033 "DE313" "DE"
"396" "Rest" 22.1070557122364 "DE313" "DE"
"397" "Sum" 100 "DE313" "DE"
"398" "LungC" 15.3511246856884 "DE401" "DE"
"399" "Cancer" 6.3869404551189 "DE401" "DE"
"400" "CVD" 50.5567813633475 "DE401" "DE"
"401" "External" 10.3850622316872 "DE401" "DE"
"402" "Rest" 17.320091264158 "DE401" "DE"
"403" "Sum" 100 "DE401" "DE"
"404" "LungC" 17.6071061146822 "DE501" "DE"
"405" "Cancer" 3.9385508521746 "DE501" "DE"
"406" "CVD" 61.088107507058 "DE501" "DE"
"407" "External" 1.74183139127656 "DE501" "DE"
"408" "Rest" 15.6244041348086 "DE501" "DE"
"409" "Sum" 99.9999999999999 "DE501" "DE"
"410" "LungC" 17.9921184753359 "DE502" "DE"
"411" "Cancer" 4.6082707909736 "DE502" "DE"
"412" "CVD" 65.827270410105 "DE502" "DE"
"413" "External" 1.16436276663032 "DE502" "DE"
"414" "Rest" 10.4079775569552 "DE502" "DE"
"415" "Sum" 100 "DE502" "DE"
"416" "LungC" 14.9812567033317 "DE503" "DE"
"417" "Cancer" 10.2407301057693 "DE503" "DE"
"418" "CVD" 59.4368382310036 "DE503" "DE"
"419" "External" 4.29365001667055 "DE503" "DE"
"420" "Rest" 11.0475249432249 "DE503" "DE"
"421" "Sum" 100 "DE503" "DE"
"422" "LungC" 18.5021465512859 "DE504" "DE"
"423" "Cancer" 4.06395990959822 "DE504" "DE"
"424" "CVD" 61.3506990491874 "DE504" "DE"
"425" "External" 1.77604927089507 "DE504" "DE"
"426" "Rest" 14.3071452190334 "DE504" "DE"
"427" "Sum" 99.9999999999999 "DE504" "DE"
"428" "LungC" 16.3571460789022 "DE505" "DE"
"429" "Cancer" 3.56969485112286 "DE505" "DE"
"430" "CVD" 66.2785494677102 "DE505" "DE"
"431" "External" 1.01800572699856 "DE505" "DE"
"432" "Rest" 12.7766038752662 "DE505" "DE"
"433" "Sum" 100 "DE505" "DE"
"434" "LungC" 18.6811565504801 "DE506" "DE"
"435" "Cancer" 6.79172813222628 "DE506" "DE"
"436" "CVD" 59.397930034592 "DE506" "DE"
"437" "External" 1.90781522622902 "DE506" "DE"
"438" "Rest" 13.2213700564726 "DE506" "DE"
"439" "Sum" 100 "DE506" "DE"
"440" "LungC" 21.4806279443275 "DE507" "DE"
"441" "Cancer" 4.16400529053723 "DE507" "DE"
"442" "CVD" 59.2355517479861 "DE507" "DE"
"443" "External" 1.11358782388146 "DE507" "DE"
"444" "Rest" 14.0062271932677 "DE507" "DE"
"445" "Sum" 99.9999999999999 "DE507" "DE"
"446" "LungC" 19.433211945346 "DE508" "DE"
"447" "Cancer" 6.40063673651828 "DE508" "DE"
"448" "CVD" 60.4690396039648 "DE508" "DE"
"449" "External" 2.58001382154862 "DE508" "DE"
"450" "Rest" 11.1170978926224 "DE508" "DE"
"451" "Sum" 100 "DE508" "DE"
"452" "LungC" 19.7735502815993 "DE509" "DE"
"453" "Cancer" 5.19369101915202 "DE509" "DE"
"454" "CVD" 57.6081868793479 "DE509" "DE"
"455" "External" 0.737005585778973 "DE509" "DE"
"456" "Rest" 16.6875662341217 "DE509" "DE"
"457" "Sum" 100 "DE509" "DE"
"458" "LungC" 18.7169725114687 "DE510" "DE"
"459" "Cancer" 3.97699780244418 "DE510" "DE"
"460" "CVD" 62.3216819089933 "DE510" "DE"
"461" "External" 1.49597860369556 "DE510" "DE"
"462" "Rest" 13.4883691733983 "DE510" "DE"
"463" "Sum" 100 "DE510" "DE"
"464" "LungC" 16.604197564876 "DE511" "DE"
"465" "Cancer" 6.14413862026716 "DE511" "DE"
"466" "CVD" 62.9599517154171 "DE511" "DE"
"467" "External" 1.45120753375467 "DE511" "DE"
"468" "Rest" 12.840504565685 "DE511" "DE"
"469" "Sum" 100 "DE511" "DE"
"470" "LungC" 15.4953903120622 "DE512" "DE"
"471" "Cancer" 5.16982273976871 "DE512" "DE"
"472" "CVD" 63.808432198359 "DE512" "DE"
"473" "External" 4.05860101563493 "DE512" "DE"
"474" "Rest" 11.4677537341752 "DE512" "DE"
"475" "Sum" 100 "DE512" "DE"
"476" "LungC" 19.0352458146178 "DE513" "DE"
"477" "Cancer" 2.56523008010552 "DE513" "DE"
"478" "CVD" 61.0775350936347 "DE513" "DE"
"479" "External" 3.44289066510767 "DE513" "DE"
"480" "Rest" 13.8790983465343 "DE513" "DE"
"481" "Sum" 100 "DE513" "DE"
"482" "LungC" 17.5513817349877 "DE601" "DE"
"483" "Cancer" 7.86703089461824 "DE601" "DE"
"484" "CVD" 53.1310948650135 "DE601" "DE"
"485" "External" 5.28210213437723 "DE601" "DE"
"486" "Rest" 16.1683903710034 "DE601" "DE"
"487" "Sum" 100 "DE601" "DE"
"488" "LungC" 16.5774618986608 "DE602" "DE"
"489" "Cancer" 6.94136113032661 "DE602" "DE"
"490" "CVD" 54.1844888359376 "DE602" "DE"
"491" "External" 4.71897712282049 "DE602" "DE"
"492" "Rest" 17.5777110122546 "DE602" "DE"
"493" "Sum" 100 "DE602" "DE"
"494" "LungC" 14.4389523868895 "DE603" "DE"
"495" "Cancer" 13.5968575778545 "DE603" "DE"
"496" "CVD" 53.7151813188404 "DE603" "DE"
"497" "External" 3.19358081013462 "DE603" "DE"
"498" "Rest" 15.0554279062809 "DE603" "DE"
"499" "Sum" 100 "DE603" "DE"
"500" "LungC" 15.4059772626859 "DE604" "DE"
"501" "Cancer" 12.2545245954702 "DE604" "DE"
"502" "CVD" 52.6867088350027 "DE604" "DE"
"503" "External" 2.52700641023638 "DE604" "DE"
"504" "Rest" 17.1257828966049 "DE604" "DE"
"505" "Sum" 100 "DE604" "DE"
"506" "LungC" 17.9119582808242 "DE605" "DE"
"507" "Cancer" 11.1086524901226 "DE605" "DE"
"508" "CVD" 48.9173589230922 "DE605" "DE"
"509" "External" 4.22783222492675 "DE605" "DE"
"510" "Rest" 17.8341980810342 "DE605" "DE"
"511" "Sum" 100 "DE605" "DE"
"512" "LungC" 19.6901762299417 "DE701" "DE"
"513" "Cancer" 7.78664330941047 "DE701" "DE"
"514" "CVD" 51.211338606471 "DE701" "DE"
"515" "External" 3.7736461812989 "DE701" "DE"
"516" "Rest" 17.5381956728778 "DE701" "DE"
"517" "Sum" 99.9999999999999 "DE701" "DE"
"518" "LungC" 20.5835494866653 "DE702" "DE"
"519" "Cancer" 7.17904970000522 "DE702" "DE"
"520" "CVD" 46.9042406460646 "DE702" "DE"
"521" "External" 6.26747474249808 "DE702" "DE"
"522" "Rest" 19.0656854247668 "DE702" "DE"
"523" "Sum" 100 "DE702" "DE"
"524" "LungC" 17.1100544705084 "DE703" "DE"
"525" "Cancer" 16.6337230447513 "DE703" "DE"
"526" "CVD" 40.4928142277892 "DE703" "DE"
"527" "External" 5.49222098932531 "DE703" "DE"
